Section,Page Name,URL Path,Full URL,Page Type,SEO / Purpose Notes
Product Types,Add-Ons & Gifts,/add-ons/,https://abcflowers.com/add-ons/,Category,"Chocolates, teddy bears, balloons, vases"
Product Types,Gift Cards,/gift-cards/,https://abcflowers.com/gift-cards/,Category,Digital gift cards
Product Page,Example Product,/products/red-rose-bouquet/,https://abcflowers.com/products/red-rose-bouquet/,Product,Single product template: /products/{product-slug}/
Delivery,Flower Delivery Info,/flower-delivery/,https://abcflowers.com/flower-delivery/,Landing/Info,"Delivery areas, cut-off times, charges"
Delivery,Same Day Delivery,/same-day-flower-delivery/,https://abcflowers.com/same-day-flower-delivery/,Landing,High-intent keyword page
Delivery,City Delivery Page,/flower-delivery/new-york/,https://abcflowers.com/flower-delivery/new-york/,Local Landing,Local SEO template: /flower-delivery/{city}/
Cart & Checkout,Cart,/cart/,https://abcflowers.com/cart/,System,Shopping cart (noindex)
Cart & Checkout,Checkout,/checkout/,https://abcflowers.com/checkout/,System,Checkout flow (noindex)
Cart & Checkout,Order Confirmation,/checkout/thank-you/,https://abcflowers.com/checkout/thank-you/,System,Post-purchase page (noindex)
Cart & Checkout,Wishlist,/wishlist/,https://abcflowers.com/wishlist/,System,Saved items (noindex)
Account,Login,/login/,https://abcflowers.com/login/,System,Customer login (noindex)
Account,Register,/register/,https://abcflowers.com/register/,System,Create account (noindex)
Account,My Account,/account/,https://abcflowers.com/account/,System,Account dashboard (noindex)
Account,My Orders,/account/orders/,https://abcflowers.com/account/orders/,System,Order history (noindex)
Account,Track Order,/track-order/,https://abcflowers.com/track-order/,Tool,Order tracking
Info,About Us,/about/,https://abcflowers.com/about/,Info,"Brand story, trust signals"
Info,Contact Us,/contact/,https://abcflowers.com/contact/,Info,"Contact form, phone, address, NAP for local SEO"
Info,FAQ,/faq/,https://abcflowers.com/faq/,Info,Common questions - FAQ schema
Info,Flower Care Guide,/flower-care-guide/,https://abcflowers.com/flower-care-guide/,Info,How to care for fresh flowers
Info,Substitution Policy,/substitution-policy/,https://abcflowers.com/substitution-policy/,Info,Product substitution terms
Info,Reviews,/reviews/,https://abcflowers.com/reviews/,Info,Customer reviews / testimonials
Blog,Blog Home,/blog/,https://abcflowers.com/blog/,Blog Hub,Content marketing hub
Blog,Example Blog Post,/blog/best-flowers-for-birthdays/,https://abcflowers.com/blog/best-flowers-for-birthdays/,Blog Post,Post template: /blog/{post-slug}/
Legal,Privacy Policy,/privacy-policy/,https://abcflowers.com/privacy-policy/,Legal,Privacy policy
Legal,Terms & Conditions,/terms-conditions/,https://abcflowers.com/terms-conditions/,Legal,Terms of service
Legal,Refund & Returns,/refund-policy/,https://abcflowers.com/refund-policy/,Legal,Refund policy
Legal,Shipping Policy,/shipping-policy/,https://abcflowers.com/shipping-policy/,Legal,Shipping terms
System,Sitemap,/sitemap.xml,https://abcflowers.com/sitemap.xml,System,XML sitemap for search engines
System,Robots,/robots.txt,https://abcflowers.com/robots.txt,System,Crawler directives
