n,assetId,sku,product,mothersDay,role,facets,seed,filename,prompt,negativePrompt
"11","fo-pt-002-hero","FO-PT-002","Moth Orchid Pink","yes","hero","plant · minimal · premium","27716966","fo-pt-002-hero.png","An orchid plant in flower, its soft pink blooms open, in a plain white ceramic pot, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"12","fo-pt-002-detail","FO-PT-002","Moth Orchid Pink","yes","detail","plant · minimal · premium","77882529","fo-pt-002-detail.png","A close detail of the same orchid plant: two or three soft pink blooms filling the frame at 4:5, the rim of the plain pot visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, the lip and column sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"13","fo-pt-008-hero","FO-PT-008","Azalea Pot","yes","hero","plant · classic · essential","167278054","fo-pt-008-hero.png","A flowering plant, its soft pink blooms open, in a plain white ceramic pot, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"14","fo-pt-008-detail","FO-PT-008","Azalea Pot","yes","detail","plant · classic · essential","211326119","fo-pt-008-detail.png","A close detail of the same flowering plant: two or three soft pink blooms filling the frame at 4:5, the rim of the plain pot visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture across the three nearest heads sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"15","fo-ar-002-hero","FO-AR-002","Mantelpiece","","hero","arrangement · classic · premium","206488132","fo-ar-002-hero.png","An arrangement of deep red roses with eucalyptus, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate deep red heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"16","fo-ar-002-detail","FO-AR-002","Mantelpiece","","detail","arrangement · classic · premium","3751211","fo-ar-002-detail.png","A close detail of the same arrangement of deep red roses: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture and calyx sharp, colour-accurate deep red, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"17","fo-ar-004-hero","FO-AR-004","Desk Bloom","","hero","arrangement · modern · essential","23272157","fo-ar-004-hero.png","A modern arrangement of vivid gerberas, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate vivid heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"18","fo-ar-004-detail","FO-AR-004","Desk Bloom","","detail","arrangement · modern · essential","12396970","fo-ar-004-detail.png","A close detail of the same arrangement of vivid gerberas: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, the flat disc florets and petal edges sharp, colour-accurate vivid, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"19","fo-ar-005-hero","FO-AR-005","Paper Window","","hero","arrangement · minimal · essential","241107673","fo-ar-005-hero.png","A restrained arrangement of soft pink tulips, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"20","fo-ar-005-detail","FO-AR-005","Paper Window","","detail","arrangement · minimal · essential","155442018","fo-ar-005-detail.png","A close detail of the same arrangement of soft pink tulips: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, satin petal texture sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"21","fo-ar-006-hero","FO-AR-006","Glass Morning","","hero","arrangement · classic · premium","152273867","fo-ar-006-hero.png","An arrangement of pure white lilies with dark green foliage, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate pure white heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"22","fo-ar-006-detail","FO-AR-006","Glass Morning","","detail","arrangement · classic · premium","117308987","fo-ar-006-detail.png","A close detail of the same arrangement of pure white lilies: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, stamens and petal veining sharp, colour-accurate pure white, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"23","fo-ar-007-hero","FO-AR-007","Kitchen Table","","hero","arrangement · rustic · classic","184999176","fo-ar-007-hero.png","A rustic arrangement of mixed-colour seasonal stems, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate mixed-colour heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"24","fo-ar-007-detail","FO-AR-007","Kitchen Table","","detail","arrangement · rustic · classic","168172438","fo-ar-007-detail.png","A close detail of the same arrangement of mixed-colour seasonal stems: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture across the three nearest heads sharp, colour-accurate mixed-colour, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"25","fo-ar-008-hero","FO-AR-008","Hallway Light","","hero","arrangement · modern · classic","243890895","fo-ar-008-hero.png","A modern arrangement of pure white mixed, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate pure white heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"26","fo-ar-008-detail","FO-AR-008","Hallway Light","","detail","arrangement · modern · classic","22907724","fo-ar-008-detail.png","A close detail of the same arrangement of pure white mixed: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture across the three nearest heads sharp, colour-accurate pure white, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"27","fo-ar-009-hero","FO-AR-009","Reading Corner","","hero","arrangement · minimal · classic","251366525","fo-ar-009-hero.png","A restrained arrangement of deep purple freesias, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate deep purple heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"28","fo-ar-009-detail","FO-AR-009","Reading Corner","","detail","arrangement · minimal · classic","137931325","fo-ar-009-detail.png","A close detail of the same arrangement of deep purple freesias: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, the trumpet throats and buds sharp, colour-accurate deep purple, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"29","fo-ar-010-hero","FO-AR-010","Studio Vase","","hero","arrangement · luxury · luxury","184984167","fo-ar-010-hero.png","A luxury arrangement of soft pink peonies, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"30","fo-ar-010-detail","FO-AR-010","Studio Vase","","detail","arrangement · luxury · luxury","138397181","fo-ar-010-detail.png","A close detail of the same arrangement of soft pink peonies: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, ruffled petal layers and green sepals sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"31","fo-ar-011-hero","FO-AR-011","Garden Crate","","hero","arrangement · rustic · classic","131619794","fo-ar-011-hero.png","A rustic arrangement of mixed-colour seasonal stems, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate mixed-colour heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"32","fo-ar-011-detail","FO-AR-011","Garden Crate","","detail","arrangement · rustic · classic","32886970","fo-ar-011-detail.png","A close detail of the same arrangement of mixed-colour seasonal stems: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture across the three nearest heads sharp, colour-accurate mixed-colour, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"33","fo-ar-012-hero","FO-AR-012","White Cube","","hero","arrangement · minimal · premium","7675527","fo-ar-012-hero.png","A restrained arrangement of pure white roses with eucalyptus, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate pure white heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"34","fo-ar-012-detail","FO-AR-012","White Cube","","detail","arrangement · minimal · premium","7451324","fo-ar-012-detail.png","A close detail of the same arrangement of pure white roses: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture and calyx sharp, colour-accurate pure white, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"35","fo-ar-013-hero","FO-AR-013","Copper Bowl","","hero","arrangement · rustic · classic","113278199","fo-ar-013-hero.png","A rustic arrangement of warm orange chrysanthemums with dark green foliage, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate warm orange heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"36","fo-ar-013-detail","FO-AR-013","Copper Bowl","","detail","arrangement · rustic · classic","194857451","fo-ar-013-detail.png","A close detail of the same arrangement of warm orange chrysanthemums: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, the dense incurved petals sharp, colour-accurate warm orange, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"37","fo-ar-014-hero","FO-AR-014","Linen Basket","","hero","arrangement · rustic · essential","67539541","fo-ar-014-hero.png","A rustic arrangement of soft pastel alstroemeria, arranged low in a plain kraft gift box, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pastel heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"38","fo-ar-014-detail","FO-AR-014","Linen Basket","","detail","arrangement · rustic · essential","25083172","fo-ar-014-detail.png","A close detail of the same arrangement of soft pastel alstroemeria: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, the petal markings and throat sharp, colour-accurate soft pastel, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"39","fo-bq-003-hero","FO-BQ-003","Baltic Dawn","","hero","bouquet · modern · classic","23955362","fo-bq-003-hero.png","A hand-tied modern bouquet of 18 soft pink roses with eucalyptus, wrapped in kraft paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"40","fo-bq-003-detail","FO-BQ-003","Baltic Dawn","","detail","bouquet · modern · classic","136474361","fo-bq-003-detail.png","A close detail of the same bouquet of 18 soft pink roses: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture and calyx sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"41","fo-bq-004-hero","FO-BQ-004","Quiet Blush","","hero","bouquet · minimal · essential","152260295","fo-bq-004-hero.png","A hand-tied restrained bouquet of 18 soft pastel roses with eucalyptus, wrapped in kraft paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pastel heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"42","fo-bq-004-detail","FO-BQ-004","Quiet Blush","","detail","bouquet · minimal · essential","146519127","fo-bq-004-detail.png","A close detail of the same bouquet of 18 soft pastel roses: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture and calyx sharp, colour-accurate soft pastel, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"43","fo-bq-005-hero","FO-BQ-005","Northern Light","","hero","bouquet · minimal · premium","137624724","fo-bq-005-hero.png","A hand-tied restrained bouquet of 18 pure white roses with eucalyptus, wrapped in white paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate pure white heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
